id,id_android,speed,time,distance,rating,rating_bus,rating_weather,car_or_bus,linha
37955,10,25.55471216,0.442071111,11.297,3,1,2,2,080 - BUGIO ATALAIA
37956,10,6.769633715,0.168842222,1.143,3,0,0,1,carro
37957,10,22.46818404,0.369900833,8.311,3,0,0,1,carro
37960,1,13.53221944,0.467846389,6.331,1,1,1,2,031 - EDUARDO GOMES DES. MAYNA
37961,10,17.97209821,0.454092778,8.161,3,1,2,2,080 - BUGIO ATALAIA
37962,12,14.71205281,1.279155278,18.819,2,0,0,1,carro
37964,10,29.54095445,0.213940278,6.32,3,1,2,2,051 - ATALAIA CENTRO
37965,10,15.62021671,0.330469167,5.162,3,1,2,2,715 - TIJUQUINHA  DES MAYNARD
37967,1,0.009779393,0.3067675,0.003,1,1,1,2,040 - MARCOS FREIRE II DIA
37969,1,16.77889519,0.193099722,3.24,1,1,1,2,031 - EDUARDO GOMES DES. MAYNA
37971,1,4.871447903,0.008621667,0.042,3,1,1,2,031 - EDUARDO GOMES DES. MAYNA
37972,1,4.871447903,0.008621667,0.042,3,1,1,2,031 - EDUARDO GOMES DES. MAYNA
37973,1,0.366662787,0.019091111,0.007,2,0,0,1,carro
37979,1,0.559217096,0.05007,0.028,3,1,2,2,034 - TERM ROD L  BATISTA
37982,1,4.680390033,0.003845833,0.018,3,1,2,2,034 - TERM ROD L  BATISTA
37983,1,1.601352253,0.006244722,0.01,3,1,2,2,034 - TERM ROD L  BATISTA
37989,10,18.70527563,0.436935556,8.173,1,1,1,2,702 - AUGUSTO FRANCO BEIRA MAR
37990,1,1.834161253,0.002180833,0.004,3,1,2,2,020 - PIABETA DIA
37992,10,13.55829984,0.5305975,7.194,2,0,0,1,carro
37993,13,0.10203214,0.009800833,0.001,3,1,2,2,031 - EDUARDO GOMES DES. MAYNA
37995,10,0.177183941,0.214466389,0.038,3,1,2,2,001 - A FRANCO BUGIO
37996,13,25.95760252,0.537453333,13.951,2,0,0,1,carro
37997,13,25.95760252,0.537453333,13.951,2,0,0,1,carro
37998,1,1.414093802,0.003535833,0.005,3,0,0,1,carro
38000,1,16.68536804,0.4456,7.435,3,2,2,2,715 - TIJUQUINHA  DES MAYNARD
38001,10,10.94128909,0.766088889,8.382,3,1,2,2,007 - FERNANDO COLLOR ATALAIA
38002,12,30.39704465,0.804716389,24.461,3,0,0,1,carro
38003,14,6.759735823,0.487888889,3.298,2,0,0,1,carro
38012,15,25.65493841,0.3566175,9.149,2,0,0,1,carro
38013,15,17.65449213,0.525588611,9.279,1,0,0,1,carro
38015,10,24.50473802,0.198043333,4.853,1,2,2,2,051 - ATALAIA CENTRO
38016,1,11.56657262,0.441358056,5.105,1,3,1,2,031 - EDUARDO GOMES DES. MAYNA
38017,16,14.63089636,0.766733611,11.218,2,0,0,1,carro
38018,17,0.398475672,0.017566944,0.007,3,1,2,2,061 - M. FREIRE CENTRO
38019,16,9.076858608,0.512401944,4.651,2,0,0,1,carro
38020,18,25.45133255,0.193978056,4.937,3,0,0,1,carro
38021,18,25.45133255,0.193978056,4.937,3,0,0,1,carro
38022,1,19.37679392,0.351399722,6.809,1,2,2,2,031 - EDUARDO GOMES DES. MAYNA
38024,10,7.138067878,0.580829444,4.146,3,1,2,2,051 - ATALAIA CENTRO
38030,1,1.783187093,0.003925556,0.007,3,1,2,2,031 - EDUARDO GOMES DES. MAYNA
38031,19,0.17201221,0.459269722,0.079,3,1,2,2,020 - PIABETA DIA
38039,20,1.311611929,0.016010833,0.021,3,1,2,2,002 - FERNANDO COLLOR DIA
38044,21,23.19939186,0.234230278,5.434,3,2,2,2,001 - A FRANCO BUGIO
38045,21,23.50292802,0.159426944,3.747,3,1,2,2,001 - A FRANCO BUGIO
38064,22,1.445142118,0.092724444,0.134,3,2,2,2,707 - CASTELO BRANCO CENTRO
38069,23,0.536246276,0.022377778,0.012,3,1,2,2,001 - A FRANCO BUGIO
38072,24,36.64707173,0.200070556,7.332,3,0,0,1,carro
38073,24,31.36733677,0.2558075,8.024,3,0,0,1,carro
38074,24,25.56239683,0.177526389,4.538,3,0,0,1,carro
38075,24,38.02810737,0.171346944,6.516,3,0,0,1,carro
38076,24,28.14243739,0.226703889,6.38,3,0,0,1,carro
38077,24,21.81206952,0.143773611,3.136,3,0,0,1,carro
38079,24,23.8285146,0.196906944,4.692,2,0,0,1,carro
38080,24,28.33661932,0.110457778,3.13,3,0,0,1,carro
38081,24,30.05173189,0.218756111,6.574,2,0,0,1,carro
38082,24,30.17378839,0.255387222,7.706,3,0,0,1,carro
38084,25,1.153772194,0.013000833,0.015,1,3,2,2,721 - CASTELO BRANCO SUISSA
38090,26,0.843222986,0.007115556,0.006,3,1,2,2,002 - FERNANDO COLLOR DIA
38092,27,1.372997712,0.016751667,0.023,3,1,2,2,060 - PADRE PEDRO CAMPUS
